主ID	掉落组ID	等级区间	掉落权重	掉落物品ID	最小掉落	最大掉落
750	750	1:100	238	4010011	1	1
751	750	1:100	238	4010012	1	1
752	750	1:100	238	4010013	1	1
753	750	1:100	238	4010014	1	1
754	750	1:100	238	4010015	1	1
755	750	1:100	238	4010016	1	1
756	750	1:100	238	4010017	1	1
757	750	1:100	238	4010018	1	1
758	750	1:100	238	4010019	1	1
759	750	1:100	238	4010020	1	1
760	750	1:100	238	4010021	1	1
761	750	1:100	238	4010022	1	1
762	750	1:100	238	4010023	1	1
763	750	1:100	238	4010024	1	1
764	750	1:100	238	4010025	1	1
765	750	1:100	238	4010026	1	1
766	750	1:100	238	4010027	1	1
767	750	1:100	238	4010028	1	1
768	750	1:100	238	4011001	1	1
769	750	1:100	238	4011002	1	1
770	750	1:100	238	4011003	1	1
771	750	1:100	238	4011004	1	1
772	750	1:100	238	4011005	1	1
773	750	1:100	238	4011006	1	1
774	750	1:100	238	4011007	1	1
775	750	1:100	238	4011008	1	1
776	750	1:100	238	4011009	1	1
777	750	1:100	238	4011010	1	1
778	750	1:100	238	4011011	1	1
779	750	1:100	238	4011012	1	1
780	750	1:100	238	4011013	1	1
781	750	1:100	242	4011014	1	1
782	751	1:100	370	4020013	1	1
783	751	1:100	370	4020014	1	1
784	751	1:100	370	4020015	1	1
785	751	1:100	370	4020016	1	1
786	751	1:100	370	4020017	1	1
787	751	1:100	370	4020018	1	1
788	751	1:100	370	4020019	1	1
789	751	1:100	370	4020020	1	1
790	751	1:100	370	4020021	1	1
791	751	1:100	370	4020022	1	1
792	751	1:100	370	4020023	1	1
793	751	1:100	370	4020024	1	1
794	751	1:100	370	4020025	1	1
795	751	1:100	370	4020026	1	1
796	751	1:100	370	4020027	1	1
797	751	1:100	370	4020028	1	1
798	751	1:100	370	4020029	1	1
799	751	1:100	370	4020030	1	1
800	751	1:100	370	4020031	1	1
801	751	1:100	370	4020032	1	1
802	751	1:100	370	4020033	1	1
803	751	1:100	370	4020034	1	1
804	751	1:100	370	4020035	1	1
805	751	1:100	370	4020036	1	1
806	751	1:100	370	4020037	1	1
807	751	1:100	370	4020038	1	1
808	751	1:100	380	4020039	1	1
809	752	1:100	769	4030005	1	1
810	752	1:100	769	4030006	1	1
811	752	1:100	769	4030007	1	1
812	752	1:100	769	4030008	1	1
813	752	1:100	769	4030009	1	1
814	752	1:100	769	4030010	1	1
815	752	1:100	769	4030011	1	1
816	752	1:100	769	4030012	1	1
817	752	1:100	769	4030013	1	1
818	752	1:100	769	4030014	1	1
819	752	1:100	769	4030015	1	1
820	752	1:100	769	4030016	1	1
821	752	1:100	772	4030017	1	1
822	753	1:100	909	4070002	1	1
823	753	1:100	909	4070004	1	1
824	753	1:100	909	4070005	1	1
825	753	1:100	909	4070017	1	1
826	753	1:100	909	4070018	1	1
827	753	1:100	909	4070020	1	1
828	753	1:100	909	4070021	1	1
829	753	1:100	909	4070022	1	1
830	753	1:100	909	4070023	1	1
831	753	1:100	909	4070025	1	1
832	753	1:100	910	4070028	1	1
833	754	1:100	909	4070001	1	1
834	754	1:100	909	4070003	1	1
835	754	1:100	909	4070006	1	1
836	754	1:100	909	4070007	1	1
837	754	1:100	909	4070008	1	1
838	754	1:100	909	4070009	1	1
839	754	1:100	909	4070010	1	1
840	754	1:100	909	4070016	1	1
841	754	1:100	909	4070024	1	1
842	754	1:100	909	4070026	1	1
843	754	1:100	910	4070027	1	1
844	755	1:100	2500	4070011	1	1
845	755	1:100	2500	4070012	1	1
846	755	1:100	2500	4070015	1	1
847	755	1:100	2500	4070019	1	1
848	756	1:69	10000	4080005	1	1
849	756	70:105	10000	4080006	1	1
850	757	1:100	25	4110104	1	1
851	757	1:100	30	4110102	1	1
852	757	1:100	70	4110101	1	1
853	757	1:100	2450	4100002	20	25
854	757	1:100	200	4040003	1	1
855	757	1:100	200	4050003	1	1
856	757	1:100	800	4040002	1	1
857	757	1:100	800	4050002	1	1
858	757	1:100	100	4100005	1	1
859	757	1:100	25	4100004	1	2
860	757	1:100	1150	4080003	1	5
861	757	1:100	690	4080004	1	1
862	757	1:100	345	4080005	1	1
863	757	1:100	115	4080006	1	1
864	757	1:100	3000	4020000	5	10
865	758	1:100	445	4070002	1	3
866	758	1:100	446	4070004	1	3
867	758	1:100	445	4070005	1	3
868	758	1:100	446	4070017	1	3
869	758	1:100	445	4070018	1	3
870	758	1:100	446	4070020	1	3
871	758	1:100	445	4070021	1	3
872	758	1:100	446	4070022	1	3
873	758	1:100	445	4070023	1	3
874	758	1:100	445	4070025	1	3
875	758	1:100	445	4070028	1	3
876	758	1:100	159	4070001	1	2
877	758	1:100	159	4070003	1	2
878	758	1:100	159	4070006	1	2
879	758	1:100	159	4070007	1	2
880	758	1:100	159	4070008	1	2
881	758	1:100	159	4070009	1	2
882	758	1:100	159	4070010	1	2
883	758	1:100	159	4070016	1	2
884	758	1:100	160	4070024	1	2
885	758	1:100	160	4070026	1	2
886	758	1:100	160	4070027	1	2
887	758	1:100	88	4070011	1	1
888	758	1:100	88	4070012	1	1
889	758	1:100	88	4070015	1	1
890	758	1:100	88	4070019	1	1
891	758	1:100	8	4110104	1	1
892	758	1:100	9	4110102	1	1
893	758	1:100	21	4110101	1	1
894	758	1:100	735	4100002	20	25
895	758	1:100	60	4040003	1	1
896	758	1:100	60	4050003	1	1
897	758	1:100	240	4040002	1	1
898	758	1:100	240	4050002	1	1
899	758	1:100	30	4100005	1	1
900	758	1:100	8	4100004	1	2
901	758	1:100	345	4080003	1	5
902	758	1:100	207	4080004	1	1
903	758	1:100	104	4080005	1	1
904	758	1:100	35	4080006	1	1
905	758	1:100	895	4020000	5	10
