任务ID	是否启用	完成后继续显示	任务名称	任务内容描述	任务ICON	任务Icon品质框	跳转功能界面	跳转界面标签页	任务类型	任务小类型	任务开启等级	前置任务	后置任务	任务ID	任务完成类型	任务完成数量需求	任务奖励1	任务奖励1数量	任务奖励2	任务奖励2数量	任务奖励3	任务奖励3数量	任务奖励4	任务奖励4数量
475	1	0	TaskNameId_400	TaskDesId_475	Icon_Tscl1_001	14			2	1	1	474	476	475	Player_LevelUp	96	1	5000	2	25	0	0	0	0
476	1	0	TaskNameId_400	TaskDesId_476	Icon_Tscl1_001	14			2	1	1	475	477	476	Player_LevelUp	97	1	5000	2	25	0	0	0	0
477	1	0	TaskNameId_400	TaskDesId_477	Icon_Tscl1_001	14			2	1	1	476	478	477	Player_LevelUp	98	1	5000	2	25	0	0	0	0
478	1	0	TaskNameId_400	TaskDesId_478	Icon_Tscl1_001	14			2	1	1	477	479	478	Player_LevelUp	99	1	5000	2	25	0	0	0	0
479	1	0	TaskNameId_400	TaskDesId_479	Icon_Tscl1_001	14			2	1	1	478	0	479	Player_LevelUp	100	1	5000	2	25	0	0	0	0
500	1	0	TaskNameId_500	TaskDesId_500	Icon_Tscl1_001	14			2	1	1	0	501	500	Heros_GREEN_QualityNum	1	1	1000	4020000	3	0	0	0	0
501	1	0	TaskNameId_500	TaskDesId_501	Icon_Tscl1_001	14			2	1	1	500	502	501	Heros_GREEN_QualityNum	3	1	1000	4020000	3	0	0	0	0
502	1	0	TaskNameId_500	TaskDesId_502	Icon_Tscl1_001	14			2	1	1	501	503	502	Heros_GREEN_QualityNum	6	1	1000	4020000	3	0	0	0	0
503	1	0	TaskNameId_500	TaskDesId_503	Icon_Tscl1_001	14			2	1	1	502	504	503	Heros_GREEN_1_QualityNum	1	1	1000	4020000	3	0	0	0	0
504	1	0	TaskNameId_500	TaskDesId_504	Icon_Tscl1_001	14			2	1	1	503	505	504	Heros_GREEN_1_QualityNum	3	1	1000	4020000	3	0	0	0	0
505	1	0	TaskNameId_500	TaskDesId_505	Icon_Tscl1_001	14			2	1	1	504	506	505	Heros_GREEN_1_QualityNum	6	1	1000	4020000	3	0	0	0	0
506	1	0	TaskNameId_500	TaskDesId_506	Icon_Tscl1_001	14			2	1	1	505	507	506	Heros_GREEN_2_QualityNum	1	1	2000	4020000	3	0	0	0	0
507	1	0	TaskNameId_500	TaskDesId_507	Icon_Tscl1_001	14			2	1	1	506	508	507	Heros_GREEN_2_QualityNum	3	1	2000	4020000	3	0	0	0	0
508	1	0	TaskNameId_500	TaskDesId_508	Icon_Tscl1_001	14			2	1	1	507	509	508	Heros_GREEN_2_QualityNum	6	1	2000	4020000	3	0	0	0	0
509	1	0	TaskNameId_500	TaskDesId_509	Icon_Tscl1_001	14			2	1	1	508	510	509	Heros_BLUE_QualityNum	1	1	2000	4020000	3	0	0	0	0
510	1	0	TaskNameId_500	TaskDesId_510	Icon_Tscl1_001	14			2	1	1	509	511	510	Heros_BLUE_QualityNum	3	1	2000	4020000	3	0	0	0	0
511	1	0	TaskNameId_500	TaskDesId_511	Icon_Tscl1_001	14			2	1	1	510	512	511	Heros_BLUE_QualityNum	6	1	2000	4020000	3	0	0	0	0
512	1	0	TaskNameId_500	TaskDesId_512	Icon_Tscl1_001	14			2	1	1	511	513	512	Heros_BLUE_1_QualityNum	1	1	3000	4020000	3	0	0	0	0
513	1	0	TaskNameId_500	TaskDesId_513	Icon_Tscl1_001	14			2	1	1	512	514	513	Heros_BLUE_1_QualityNum	3	1	3000	4020000	3	0	0	0	0
514	1	0	TaskNameId_500	TaskDesId_514	Icon_Tscl1_001	14			2	1	1	513	515	514	Heros_BLUE_1_QualityNum	6	1	3000	4020000	3	0	0	0	0
515	1	0	TaskNameId_500	TaskDesId_515	Icon_Tscl1_001	14			2	1	1	514	516	515	Heros_BLUE_2_QualityNum	1	1	3000	4020000	5	0	0	0	0
516	1	0	TaskNameId_500	TaskDesId_516	Icon_Tscl1_001	14			2	1	1	515	517	516	Heros_BLUE_2_QualityNum	3	1	3000	4020000	5	0	0	0	0
517	1	0	TaskNameId_500	TaskDesId_517	Icon_Tscl1_001	14			2	1	1	516	518	517	Heros_BLUE_2_QualityNum	6	1	3000	4020000	5	0	0	0	0
518	1	0	TaskNameId_500	TaskDesId_518	Icon_Tscl1_001	14			2	1	1	517	519	518	Heros_BLUE_3_QualityNum	1	1	4000	4020000	5	0	0	0	0
519	1	0	TaskNameId_500	TaskDesId_519	Icon_Tscl1_001	14			2	1	1	518	520	519	Heros_BLUE_3_QualityNum	3	1	4000	4020000	5	0	0	0	0
520	1	0	TaskNameId_500	TaskDesId_520	Icon_Tscl1_001	14			2	1	1	519	521	520	Heros_BLUE_3_QualityNum	6	1	4000	4020000	5	0	0	0	0
521	1	0	TaskNameId_500	TaskDesId_521	Icon_Tscl1_001	14			2	1	1	520	522	521	Heros_PURPLE_QualityNum	1	1	4000	4020000	5	0	0	0	0
522	1	0	TaskNameId_500	TaskDesId_522	Icon_Tscl1_001	14			2	1	1	521	523	522	Heros_PURPLE_QualityNum	3	1	4000	4020000	5	0	0	0	0
523	1	0	TaskNameId_500	TaskDesId_523	Icon_Tscl1_001	14			2	1	1	522	524	523	Heros_PURPLE_QualityNum	6	1	4000	4020000	5	0	0	0	0
524	1	0	TaskNameId_500	TaskDesId_524	Icon_Tscl1_001	14			2	1	1	523	525	524	Heros_PURPLE_1_QualityNum	1	1	5000	4020000	5	0	0	0	0
525	1	0	TaskNameId_500	TaskDesId_525	Icon_Tscl1_001	14			2	1	1	524	526	525	Heros_PURPLE_1_QualityNum	3	1	5000	4020000	5	0	0	0	0
526	1	0	TaskNameId_500	TaskDesId_526	Icon_Tscl1_001	14			2	1	1	525	527	526	Heros_PURPLE_1_QualityNum	6	1	5000	4020000	5	0	0	0	0
527	1	0	TaskNameId_500	TaskDesId_527	Icon_Tscl1_001	14			2	1	1	526	528	527	Heros_PURPLE_2_QualityNum	1	1	5000	4020000	5	0	0	0	0
528	1	0	TaskNameId_500	TaskDesId_528	Icon_Tscl1_001	14			2	1	1	527	529	528	Heros_PURPLE_2_QualityNum	3	1	5000	4020000	5	0	0	0	0
529	1	0	TaskNameId_500	TaskDesId_529	Icon_Tscl1_001	14			2	1	1	528	530	529	Heros_PURPLE_2_QualityNum	6	1	5000	4020000	5	0	0	0	0
530	1	0	TaskNameId_500	TaskDesId_530	Icon_Tscl1_001	14			2	1	1	529	531	530	Heros_PURPLE_3_QualityNum	1	1	6000	4020000	7	0	0	0	0
531	1	0	TaskNameId_500	TaskDesId_531	Icon_Tscl1_001	14			2	1	1	530	532	531	Heros_PURPLE_3_QualityNum	3	1	6000	4020000	7	0	0	0	0
532	1	0	TaskNameId_500	TaskDesId_532	Icon_Tscl1_001	14			2	1	1	531	533	532	Heros_PURPLE_3_QualityNum	6	1	6000	4020000	7	0	0	0	0
533	1	0	TaskNameId_500	TaskDesId_533	Icon_Tscl1_001	14			2	1	1	532	534	533	Heros_PURPLE_4_QualityNum	1	1	6000	4020000	7	0	0	0	0
534	1	0	TaskNameId_500	TaskDesId_534	Icon_Tscl1_001	14			2	1	1	533	535	534	Heros_PURPLE_4_QualityNum	3	1	6000	4020000	7	0	0	0	0
535	1	0	TaskNameId_500	TaskDesId_535	Icon_Tscl1_001	14			2	1	1	534	539	535	Heros_PURPLE_4_QualityNum	6	1	6000	4020000	7	0	0	0	0
539	1	0	TaskNameId_500	TaskDesId_539	Icon_Tscl1_001	14			2	1	1	535	540	539	Heros_ORANGE_QualityNum	1	1	7000	4020000	7	0	0	0	0
540	1	0	TaskNameId_500	TaskDesId_540	Icon_Tscl1_001	14			2	1	1	539	541	540	Heros_ORANGE_QualityNum	3	1	7000	4020000	7	0	0	0	0
541	1	0	TaskNameId_500	TaskDesId_541	Icon_Tscl1_001	14			2	1	1	540	542	541	Heros_ORANGE_QualityNum	6	1	7000	4020000	7	0	0	0	0
542	1	0	TaskNameId_500	TaskDesId_542	Icon_Tscl1_001	14			2	1	1	541	543	542	Heros_ORANGE_1_QualityNum	1	1	7000	4020000	7	0	0	0	0
543	1	0	TaskNameId_500	TaskDesId_543	Icon_Tscl1_001	14			2	1	1	542	544	543	Heros_ORANGE_1_QualityNum	3	1	7000	4020000	7	0	0	0	0
544	1	0	TaskNameId_500	TaskDesId_544	Icon_Tscl1_001	14			2	1	1	543	545	544	Heros_ORANGE_1_QualityNum	6	1	7000	4020000	7	0	0	0	0
545	1	0	TaskNameId_500	TaskDesId_545	Icon_Tscl1_001	14			2	1	1	544	546	545	Heros_ORANGE_2_QualityNum	1	1	8000	4020000	7	0	0	0	0
546	1	0	TaskNameId_500	TaskDesId_546	Icon_Tscl1_001	14			2	1	1	545	547	546	Heros_ORANGE_2_QualityNum	3	1	8000	4020000	7	0	0	0	0
547	1	0	TaskNameId_500	TaskDesId_547	Icon_Tscl1_001	14			2	1	1	546	548	547	Heros_ORANGE_2_QualityNum	6	1	8000	4020000	7	0	0	0	0
548	1	0	TaskNameId_500	TaskDesId_548	Icon_Tscl1_001	14			2	1	1	547	549	548	Heros_ORANGE_3_QualityNum	1	1	8000	4020000	10	0	0	0	0
549	1	0	TaskNameId_500	TaskDesId_549	Icon_Tscl1_001	14			2	1	1	548	550	549	Heros_ORANGE_3_QualityNum	3	1	8000	4020000	10	0	0	0	0
550	1	0	TaskNameId_500	TaskDesId_550	Icon_Tscl1_001	14			2	1	1	549	551	550	Heros_ORANGE_3_QualityNum	6	1	8000	4020000	10	0	0	0	0
551	1	0	TaskNameId_500	TaskDesId_551	Icon_Tscl1_001	14			2	1	1	550	552	551	Heros_ORANGE_4_QualityNum	1	1	9000	4020000	10	0	0	0	0
552	1	0	TaskNameId_500	TaskDesId_552	Icon_Tscl1_001	14			2	1	1	551	553	552	Heros_ORANGE_4_QualityNum	3	1	9000	4020000	10	0	0	0	0
553	1	0	TaskNameId_500	TaskDesId_553	Icon_Tscl1_001	14			2	1	1	552	554	553	Heros_ORANGE_4_QualityNum	6	1	9000	4020000	10	0	0	0	0
554	1	0	TaskNameId_500	TaskDesId_554	Icon_Tscl1_001	14			2	1	1	553	555	554	Heros_ORANGE_5_QualityNum	1	1	9000	4020000	10	0	0	0	0
555	1	0	TaskNameId_500	TaskDesId_555	Icon_Tscl1_001	14			2	1	1	554	556	555	Heros_ORANGE_5_QualityNum	3	1	9000	4020000	10	0	0	0	0
556	1	0	TaskNameId_500	TaskDesId_556	Icon_Tscl1_001	14			2	1	1	555	557	556	Heros_ORANGE_5_QualityNum	6	1	9000	4020000	10	0	0	0	0
557	1	0	TaskNameId_500	TaskDesId_557	Icon_Tscl1_001	14			2	1	1	556	558	557	Heros_RED_QualityNum	1	1	10000	4020000	10	0	0	0	0
558	1	0	TaskNameId_500	TaskDesId_558	Icon_Tscl1_001	14			2	1	1	557	559	558	Heros_RED_QualityNum	3	1	10000	4020000	10	0	0	0	0
559	1	0	TaskNameId_500	TaskDesId_559	Icon_Tscl1_001	14			2	1	1	558	560	559	Heros_RED_QualityNum	6	1	10000	4020000	10	0	0	0	0
560	1	0	TaskNameId_500	TaskDesId_560	Icon_Tscl1_001	14			2	1	1	559	561	560	Heros_RED_1_QualityNum	1	1	10000	4020000	10	0	0	0	0
561	1	0	TaskNameId_500	TaskDesId_561	Icon_Tscl1_001	14			2	1	1	560	562	561	Heros_RED_1_QualityNum	3	1	10000	4020000	10	0	0	0	0
562	1	0	TaskNameId_500	TaskDesId_562	Icon_Tscl1_001	14			2	1	1	561	0	562	Heros_RED_1_QualityNum	6	1	10000	4020000	10	0	0	0	0
600	0	0	TaskNameId_600	TaskDesId_600	Icon_Tscl1_001	14			2	1	1	0	0	0		1	10	100	4	100	0	0	0	0
