关卡ID	关卡名称	关卡描述	关卡目标对话	关卡目标类型	关卡目标	关卡类型	所在地图ID	关卡需求等级	首次通关后是否再挑战	每天挑战次数	关卡战斗背景	关卡正常背景	前置关卡	首次掉落	活动掉落	关卡掉落	关卡宝箱	扫荡额外掉落	关卡开启时间	体力消耗	通关角色经验	通关卡片经验	通关金钱	保底金钱	保底经验	推荐战斗力	最大回合	关卡回合	1回合前排怪1	1回合前排怪2	1回合前排怪3	1回合后排1	1回合后排2	1回合后排3	2回合前排怪1	2回合前排怪2	2回合前排怪3	2回合后排1	2回合后排2	2回合后排3	3回合前排怪1	3回合前排怪2	3回合前排怪3	3回合后排1	3回合后排2	3回合后排3	掉落显示	怪物显示	关卡图标位置
10902	Stage_StageNameId_10169	Stage_StageExplainId_10169	Stage_StageTargetTalk_2008	1,4	10,0	1	109	1	0	0	battle03	stage_xqnm03	10901			40000,50901,50900	0	60900	0	6	6	85	1009	0	0	0	20	3	0	1124	0	1124	1124	1124	1123	1123	1123	1123	1123	1123	0	1129	0	1124	1124	1124	4020000,4020010,4020009	1124,1123,1129	-493,-68
10903	Stage_StageNameId_10170	Stage_StageExplainId_10170	Stage_StageTargetTalk_2009	1,4	10,0	1	109	1	0	0	battle03	stage_xqnm03	10902			40000,50901,50900	0	60900	0	6	6	85	1015	0	0	0	20	3	1125	1125	1125	0	0	0	1124	0	1124	1124	1124	1124	0	1123	0	1123	0	0	4020000,4020010,4020009	1125,1124,1123	-484,52
10904	Stage_StageNameId_10171	Stage_StageExplainId_10171	Stage_StageTargetTalk_2000	1,4	10,0	2	109	1	0	0	battle03	stage_xqnm03	10903			40000,50901,50900	6:1,2:10,1:80000,4080005:3	60900	0	6	6	85	1021	0	0	0	20	3	1125	1125	1125	1125	0	1125	1123	1123	1123	1123	1123	1123	1130	1131	1132	0	0	0	4020000,4020010,4020009	1125,1123,1130	-275,120
10905	Stage_StageNameId_10172	Stage_StageExplainId_10172	Stage_StageTargetTalk_2001	1,4	10,0	1	109	1	0	0	battle03	stage_xqnm03	10904			40000,50905,50900	0	60900	0	6	6	85	1027	0	0	0	20	3	1123	1123	1123	0	0	0	1124	1124	1124	0	1124	0	1125	1125	1125	0	0	0	4020000,4020012,4020008	1123,1124,1125	-101,34
10906	Stage_StageNameId_10173	Stage_StageExplainId_10173	Stage_StageTargetTalk_2002	1,4	10,0	1	109	1	0	0	battle03	stage_xqnm03	10905			40000,50905,50900	0	60900	0	6	6	85	1033	0	0	0	20	3	0	1124	0	0	1124	0	1123	1123	1123	1123	1123	1123	0	1133	0	0	1134	0	4020000,4020012,4020008	1124,1123,1133	120,-130
10907	Stage_StageNameId_10174	Stage_StageExplainId_10174	Stage_StageTargetTalk_2003	1,4	10,0	2	109	1	0	0	battle03	stage_xqnm03	10906			40000,50905,50900	6:1,2:10,1:80000,4080005:3	60900	0	6	6	85	1039	0	0	0	20	3	1123	1123	1123	0	1123	0	1125	1125	1125	0	1125	0	1133	1135	1136	0	1134	0	4020000,4020012,4020008	1123,1125,1133	260,62
10908	Stage_StageNameId_10175	Stage_StageExplainId_10175	Stage_StageTargetTalk_2004	1,4	10,0	1	109	1	0	0	battle03	stage_xqnm03	10907			40000,50908,50900	0	60900	0	6	6	85	1045	0	0	0	20	3	1124	1124	1124	0	0	0	0	1123	0	1123	1123	1123	0	1123	0	1123	1123	1123	4020000,4020011,4020007	1124,1123,1123	28,82
10909	Stage_StageNameId_10176	Stage_StageExplainId_10176	Stage_StageTargetTalk_2005	1,4	10,0	1	109	1	0	0	battle03	stage_xqnm03	10908			40000,50908,50900	6:1,2:10,1:80000,4080005:3	60900	0	6	6	85	1051	0	0	0	20	3	0	1137	0	0	0	0	0	1138	0	0	0	0	0	1129	0	0	0	0	4020000,4020011,4020007	1137,1138,1129	98,152
10910	Stage_StageNameId_10177	Stage_StageExplainId_10177	Stage_StageTargetTalk_2006	1,4	10,0	3	109	1	0	0	battle03	stage_xqnm03	10909			40000,50908,50900	0	60900	0	6	6	85	1057	0	0	0	20	3	0	1139	0	0	0	0	0	1135	0	0	0	0	0	1140	0	0	0	0	4020000,4020011,4020007	1139,1135,1140	327,152
11001	Stage_StageNameId_10178	Stage_StageExplainId_10178	Stage_StageTargetTalk_2007	1,4	10,0	1	110	1	0	0	battle04	stage_xqnm03	10910			40000,51001,51000	0	61000	0	6	6	100	1063	0	0	0	20	3	1141	1141	1141	0	0	0	0	0	0	1141	0	1141	1142	1142	1142	1142	1142	1142	4020000,4020013,4020011,4020006	1141,1141,1142	-251,-78
11002	Stage_StageNameId_10179	Stage_StageExplainId_10179	Stage_StageTargetTalk_2008	1,4	10,0	1	110	1	0	0	battle04	stage_xqnm03	11001			40000,51001,51000	0	61000	0	6	6	100	1069	0	0	0	20	3	0	1147	0	0	0	0	0	1148	0	0	0	0	0	1149	0	0	0	0	4020000,4020013,4020011,4020006	1147,1148,1149	-493,-68
11003	Stage_StageNameId_10180	Stage_StageExplainId_10180	Stage_StageTargetTalk_2009	1,4	10,0	1	110	1	0	0	battle04	stage_xqnm03	11002			40000,51001,51000	0	61000	0	6	6	100	1075	0	0	0	20	3	0	1141	0	1141	0	1141	1142	1142	1142	1142	1142	1142	0	1141	0	1141	0	1141	4020000,4020013,4020011,4020006	1141,1142,1141	-484,52
11004	Stage_StageNameId_10181	Stage_StageExplainId_10181	Stage_StageTargetTalk_2000	1,4	10,0	2	110	1	0	0	battle04	stage_xqnm03	11003			40000,51001,51000	6:1,2:10,1:150000,4080005:5	61000	0	6	6	100	1081	0	0	0	20	3	0	1142	0	1142	0	0	0	1141	0	1141	1141	1141	0	1150	0	0	0	0	4020000,4020013,4020011,4020006	1142,1141,1150	-275,120
11005	Stage_StageNameId_10182	Stage_StageExplainId_10182	Stage_StageTargetTalk_2001	1,4	10,0	1	110	1	0	0	battle04	stage_xqnm03	11004			40000,51005,51000	0	61000	0	6	6	100	1087	0	0	0	20	3	0	1143	0	0	1143	0	1141	1141	1141	0	1141	0	1143	1143	1143	0	0	0	4020000,4020014,4020012,4020004	1143,1141,1143	-101,34
11006	Stage_StageNameId_10183	Stage_StageExplainId_10183	Stage_StageTargetTalk_2002	1,4	10,0	1	110	1	0	0	battle04	stage_xqnm03	11005			40000,51005,51000	0	61000	0	6	6	100	1093	0	0	0	20	3	0	1151	0	0	0	0	0	1152	0	0	0	0	0	1153	0	0	0	0	4020000,4020014,4020012,4020004	1151,1152,1153	120,-130
11007	Stage_StageNameId_10184	Stage_StageExplainId_10184	Stage_StageTargetTalk_2003	1,4	10,0	2	110	1	0	0	battle04	stage_xqnm03	11006			40000,51005,51000	6:1,2:10,1:150000,4080005:5	61000	0	6	6	100	1099	0	0	0	20	3	1141	1141	1141	1141	1141	1141	0	1142	0	0	1142	0	0	1154	0	1148	0	1149	4020000,4020014,4020012,4020004	1141,1142,1154	260,62
11008	Stage_StageNameId_10185	Stage_StageExplainId_10185	Stage_StageTargetTalk_2004	1,4	10,0	1	110	1	0	0	battle04	stage_xqnm03	11007			40000,51008,51000	0	61000	0	6	6	100	1105	0	0	0	20	3	1143	1143	1143	1143	0	1143	1142	1142	1142	0	0	0	1141	0	1141	0	1141	0	4020000,4020015,4020010,4020005	1143,1142,1141	28,82
11009	Stage_StageNameId_10186	Stage_StageExplainId_10186	Stage_StageTargetTalk_2005	1,4	10,0	1	110	1	0	0	battle04	stage_xqnm03	11008			40000,51008,51000	6:1,2:10,1:150000,4080005:5	61000	0	6	6	100	1111	0	0	0	20	3	1142	1142	1142	0	0	0	1143	1143	1143	1143	1143	1143	0	1151	0	1155	1156	1157	4020000,4020015,4020010,4020005	1142,1143,1151	98,152
11010	Stage_StageNameId_10187	Stage_StageExplainId_10187	Stage_StageTargetTalk_2006	1,4	10,0	3	110	1	0	0	battle04	stage_xqnm03	11009			40000,51008,51000	0	61000	0	6	6	100	1117	0	0	0	20	3	0	1158	0	0	0	0	0	1159	0	0	0	0	0	1152	0	0	0	0	4020000,4020015,4020010,4020005	1158,1159,1152	327,152
11101	Stage_StageNameId_10188	Stage_StageExplainId_10188	Stage_StageTargetTalk_2007	1,4	10,0	1	111	1	0	0	battle05	stage_xqnm03	11010			40000,51101,51100	0	61100	0	6	6	120	1123	0	0	0	20	3	1160	0	1160	0	1160	0	0	1161	0	1161	1161	1161	0	1166	0	1160	0	1160	4020000,4020013,4020012	1160,1161,1166	-251,-78
11102	Stage_StageNameId_10189	Stage_StageExplainId_10189	Stage_StageTargetTalk_2008	1,4	10,0	1	111	1	0	0	battle05	stage_xqnm03	11101			40000,51101,51100	0	61100	0	6	6	120	1129	0	0	0	20	3	0	1160	0	1160	1160	1160	0	1167	0	0	1168	0	0	1169	0	0	1170	0	4020000,4020013,4020012	1160,1167,1169	-493,-68
11103	Stage_StageNameId_10190	Stage_StageExplainId_10190	Stage_StageTargetTalk_2009	1,4	10,0	1	111	1	0	0	battle05	stage_xqnm03	11102			40000,51101,51100	0	61100	0	6	6	120	1135	0	0	0	20	3	1161	1161	1161	0	0	0	1160	0	0	1160	1160	0	1162	1162	1162	1162	1162	1162	4020000,4020013,4020012	1161,1160,1162	-484,52
11104	Stage_StageNameId_10191	Stage_StageExplainId_10191	Stage_StageTargetTalk_2000	1,4	10,0	2	111	1	0	0	battle05	stage_xqnm03	11103			40000,51101,51100	6:1,2:10,1:250000,4080005:10	61100	0	6	6	120	1141	0	0	0	20	3	0	1160	0	0	0	0	0	1160	0	0	0	0	0	0	0	1169	1171	1172	4020000,4020013,4020012	1160,1160,1169	-275,120
11105	Stage_StageNameId_10192	Stage_StageExplainId_10192	Stage_StageTargetTalk_2001	1,4	10,0	1	111	1	0	0	battle05	stage_xqnm03	11104			40000,51105,51100	0	61100	0	6	6	120	1147	0	0	0	20	3	1161	0	1161	0	1161	0	0	1160	0	1160	1160	1160	1161	1161	1161	1161	0	1161	4020000,4020015,4020011	1161,1160,1161	-101,34
11106	Stage_StageNameId_10193	Stage_StageExplainId_10193	Stage_StageTargetTalk_2002	1,4	10,0	1	111	1	0	0	battle05	stage_xqnm03	11105			40000,51105,51100	0	61100	0	6	6	120	1153	0	0	0	20	3	0	1162	0	1162	1162	1162	1160	1160	1160	0	1160	0	1173	0	1166	0	1174	0	4020000,4020015,4020011	1162,1160,1173	120,-130
11107	Stage_StageNameId_10194	Stage_StageExplainId_10194	Stage_StageTargetTalk_2003	1,4	10,0	2	111	1	0	0	battle05	stage_xqnm03	11106			40000,51105,51100	6:1,2:10,1:250000,4080005:10	61100	0	6	6	120	1159	0	0	0	20	3	1161	0	1161	1161	0	1161	0	1175	0	1162	1162	1162	0	1176	0	0	1177	0	4020000,4020015,4020011	1161,1175,1176	260,62
11108	Stage_StageNameId_10195	Stage_StageExplainId_10195	Stage_StageTargetTalk_2004	1,4	10,0	1	111	1	0	0	battle05	stage_xqnm03	11107			40000,51108,51100	0	61100	0	6	6	120	1165	0	0	0	20	3	0	1161	0	0	1161	0	0	1162	0	1162	0	1162	0	1160	0	1160	1160	1160	4020000,4020014,4020010	1161,1162,1160	28,82
11109	Stage_StageNameId_10196	Stage_StageExplainId_10196	Stage_StageTargetTalk_2005	1,4	10,0	1	111	1	0	0	battle05	stage_xqnm03	11108			40000,51108,51100	6:1,2:10,1:250000,4080005:10	61100	0	6	6	120	1171	0	0	0	20	3	0	1161	0	1161	0	1161	1162	1162	0	1162	1162	0	1178	1166	1179	0	0	0	4020000,4020014,4020010	1161,1162,1178	98,152
11110	Stage_StageNameId_10197	Stage_StageExplainId_10197	Stage_StageTargetTalk_2006	1,4	10,0	3	111	1	0	0	battle05	stage_xqnm03	11109			40000,51108,51100	0	61100	0	6	6	120	1177	0	0	0	20	1	0	1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4020000,4020014,4020010	1180	327,152
11201	Stage_StageNameId_10198	Stage_StageExplainId_10198	Stage_StageTargetTalk_2007	1,4	10,0	1	112	1	0	0	battle06	stage_xqnm03	11110			40000,51201,51200	0	61200	0	6	6	150	1183	0	0	0	20	3	0	1181	0	1181	0	1181	1182	0	1182	1182	1182	1182	1181	1181	1181	1181	1181	1181	4020000,4020016,4020009	1181,1182,1181	-251,-78
11202	Stage_StageNameId_10199	Stage_StageExplainId_10199	Stage_StageTargetTalk_2008	1,4	10,0	1	112	1	0	0	battle06	stage_xqnm03	11201			40000,51201,51200	0	61200	0	6	6	150	1189	0	0	0	20	3	0	1182	0	1182	0	1182	1181	1181	1181	1181	1181	1181	0	1187	0	0	1188	0	4020000,4020016,4020009	1182,1181,1187	-493,-68
11203	Stage_StageNameId_10200	Stage_StageExplainId_10200	Stage_StageTargetTalk_2009	1,4	10,0	1	112	1	0	0	battle06	stage_xqnm03	11202			40000,51201,51200	0	61200	0	6	6	150	1195	0	0	0	20	3	1182	1182	1182	0	1182	0	1183	1183	1183	0	1183	0	0	1181	0	1181	1181	1181	4020000,4020016,4020009	1182,1183,1181	-484,52
11204	Stage_StageNameId_10201	Stage_StageExplainId_10201	Stage_StageTargetTalk_2000	1,4	10,0	2	112	1	0	0	battle06	stage_xqnm03	11203			40000,51201,51200	6:1,2:10,1:14000	61200	0	6	6	150	1201	0	0	0	20	3	0	0	1181	0	0	1181	0	1189	0	0	1190	0	0	1191	0	0	1192	0	4020000,4020016,4020009	1181,1189,1191	-275,120
11205	Stage_StageNameId_10202	Stage_StageExplainId_10202	Stage_StageTargetTalk_2001	1,4	10,0	1	112	1	0	0	battle06	stage_xqnm03	11204			40000,51205,51200	0	61200	0	6	6	150	1207	0	0	0	20	3	0	1182	0	0	1182	0	0	1181	0	1181	1181	1181	1183	1183	1183	0	1183	0	4020000,4020017,4020007	1182,1181,1183	-101,34
11206	Stage_StageNameId_10203	Stage_StageExplainId_10203	Stage_StageTargetTalk_2002	1,4	10,0	1	112	1	0	0	battle06	stage_xqnm03	11205			40000,51205,51200	0	61200	0	6	6	150	1213	0	0	0	20	3	1181	1181	1181	0	1181	0	1182	1193	1182	0	0	0	0	1194	0	0	1195	0	4020000,4020017,4020007	1181,1182,1194	120,-130
11207	Stage_StageNameId_10204	Stage_StageExplainId_10204	Stage_StageTargetTalk_2003	1,4	10,0	2	112	1	0	0	battle06	stage_xqnm03	11206			40000,51205,51200	6:1,2:10,1:14000	61200	0	6	6	150	1219	0	0	0	20	3	1183	1183	1183	1183	1183	1183	1181	0	1181	0	1181	0	0	1191	0	0	1196	0	4020000,4020017,4020007	1183,1181,1191	260,62
11208	Stage_StageNameId_10205	Stage_StageExplainId_10205	Stage_StageTargetTalk_2004	1,4	10,0	1	112	1	0	0	battle06	stage_xqnm03	11207			40000,51208,51200	0	61200	0	6	6	150	1225	0	0	0	20	3	1182	1182	1182	0	0	0	1183	1183	1183	0	0	0	1181	1181	1181	0	1181	0	4020000,4020018,4020008	1182,1183,1181	28,82
11209	Stage_StageNameId_10206	Stage_StageExplainId_10206	Stage_StageTargetTalk_2005	1,4	10,0	1	112	1	0	0	battle06	stage_xqnm03	11208			40000,51208,51200	6:1,2:10,1:14000	61200	0	6	6	150	1231	0	0	0	20	3	0	1192	0	0	0	0	0	1197	0	0	0	0	0	1198	0	0	0	0	4020000,4020018,4020008	1192,1197,1198	98,152
11210	Stage_StageNameId_10207	Stage_StageExplainId_10207	Stage_StageTargetTalk_2006	1,4	10,0	3	112	1	0	0	battle06	stage_xqnm03	11209			40000,51208,51200	0	61200	0	6	6	150	1237	0	0	0	20	3	0	1183	0	1181	1181	1181	1182	0	1182	0	0	0	0	1199	0	0	0	0	4020000,4020018,4020008	1183,1182,1199	327,152
11301	Stage_StageNameId_10208	Stage_StageExplainId_10208	Stage_StageTargetTalk_2007	1,4	10,0	1	113	1	0	0	battle01	stage_xqnm03	11210			40000,51301,51300	0	61300	0	6	6	175	1243	0	0	0	20	3	1200	1200	1200	0	0	0	0	1200	0	0	1200	0	0	1201	0	1201	0	1201	4020000,4020016	1200,1200,1201	-251,-78
11302	Stage_StageNameId_10209	Stage_StageExplainId_10209	Stage_StageTargetTalk_2008	1,4	10,0	1	113	1	0	0	battle01	stage_xqnm03	11301			40000,51301,51300	0	61300	0	6	6	175	1249	0	0	0	20	3	1200	1200	1200	0	1201	0	1201	1201	1201	0	0	0	1200	1206	1200	0	0	0	4020000,4020016	1200,1201,1200	-493,-68
11303	Stage_StageNameId_10210	Stage_StageExplainId_10210	Stage_StageTargetTalk_2009	1,4	10,0	1	113	1	0	0	battle01	stage_xqnm03	11302			40000,51301,51300	0	61300	0	6	6	175	1255	0	0	0	20	3	1201	0	1201	1201	0	1201	0	1200	0	1200	0	1200	1202	1202	1202	1202	1202	1202	4020000,4020016	1201,1200,1202	-484,52
11304	Stage_StageNameId_10211	Stage_StageExplainId_10211	Stage_StageTargetTalk_2000	1,4	10,0	2	113	1	0	0	battle01	stage_xqnm03	11303			40000,51301,51300	6:1,2:10,1:16000	61300	0	6	6	175	1261	0	0	0	20	3	0	1200	0	1200	0	1200	1201	0	1201	1201	1201	1201	0	1207	0	0	1208	0	4020000,4020016	1200,1201,1207	-275,120
11305	Stage_StageNameId_10212	Stage_StageExplainId_10212	Stage_StageTargetTalk_2001	1,4	10,0	1	113	1	0	0	battle01	stage_xqnm03	11304			40000,51305,51300	0	61300	0	6	6	175	1267	0	0	0	20	3	0	1202	0	1202	0	1202	1201	0	1201	1201	1201	1201	1200	0	1200	1200	0	1200	4020000,4020017	1202,1201,1200	-101,34
11306	Stage_StageNameId_10213	Stage_StageExplainId_10213	Stage_StageTargetTalk_2002	1,4	10,0	1	113	1	0	0	battle01	stage_xqnm03	11305			40000,51305,51300	0	61300	0	6	6	175	1273	0	0	0	20	3	0	0	0	1202	1202	1202	0	1201	0	0	1201	0	1209	1210	1211	0	0	0	4020000,4020017	1202,1201,1209	120,-130
11307	Stage_StageNameId_10214	Stage_StageExplainId_10214	Stage_StageTargetTalk_2003	1,4	10,0	2	113	1	0	0	battle01	stage_xqnm03	11306			40000,51305,51300	6:1,2:10,1:16000	61300	0	6	6	175	1279	0	0	0	20	3	1200	0	1200	1200	1200	1200	1202	0	1202	0	1202	0	1212	1213	1214	0	1215	0	4020000,4020017	1200,1202,1212	260,62
11308	Stage_StageNameId_10215	Stage_StageExplainId_10215	Stage_StageTargetTalk_2004	1,4	10,0	1	113	1	0	0	battle01	stage_xqnm03	11307			40000,51308,51300	0	61300	0	6	6	175	1285	0	0	0	20	3	1201	0	1201	1201	1201	1201	0	1200	0	1200	1200	1200	1202	1202	1202	1202	1202	1202	4020000,4020018	1201,1200,1202	28,82
11309	Stage_StageNameId_10216	Stage_StageExplainId_10216	Stage_StageTargetTalk_2005	1,4	10,0	1	113	1	0	0	battle01	stage_xqnm03	11308			40000,51308,51300	6:1,2:10,1:16000	61300	0	6	6	175	1291	0	0	0	20	3	0	1210	0	0	0	0	0	1212	0	0	0	0	1200	1200	1200	0	1216	0	4020000,4020018	1210,1212,1200	98,152
11310	Stage_StageNameId_10217	Stage_StageExplainId_10217	Stage_StageTargetTalk_2006	1,4	10,0	3	113	1	0	0	battle01	stage_xqnm03	11309			40000,51308,51300	0	61300	0	6	6	175	1297	0	0	0	20	3	1201	1201	1201	0	0	0	0	1217	0	0	1218	0	1202	1202	1202	0	1219	0	4020000,4020018	1201,1217,1202	327,152
11401	Stage_StageNameId_10218	Stage_StageExplainId_10218	Stage_StageTargetTalk_2007	1,4	10,0	1	114	1	0	0	battle06	stage_xqnm03	11310			40000,51401,51400	0	61400	0	6	6	200	1303	0	0	0	20	3	0	0	0	1220	1220	1220	0	1220	0	1220	0	1220	0	1221	0	1221	0	1221	4020000,4020019,4020012	1220,1220,1221	-251,-78
11402	Stage_StageNameId_10219	Stage_StageExplainId_10219	Stage_StageTargetTalk_2008	1,4	10,0	1	114	1	0	0	battle06	stage_xqnm03	11401			40000,51401,51400	0	61400	0	6	6	200	1309	0	0	0	20	3	0	1220	0	1220	0	1220	1221	1221	1221	0	0	0	1226	1227	1228	0	0	0	4020000,4020019,4020012	1220,1221,1226	-493,-68
11403	Stage_StageNameId_10220	Stage_StageExplainId_10220	Stage_StageTargetTalk_2009	1,4	10,0	1	114	1	0	0	battle06	stage_xqnm03	11402			40000,51401,51400	0	61400	0	6	6	200	1315	0	0	0	20	3	1221	0	1221	1221	0	1221	0	1220	0	0	1220	0	1222	1222	1222	1222	1222	1222	4020000,4020019,4020012	1221,1220,1222	-484,52
11404	Stage_StageNameId_10221	Stage_StageExplainId_10221	Stage_StageTargetTalk_2000	1,4	10,0	2	114	1	0	0	battle06	stage_xqnm03	11403			40000,51401,51400	6:1,2:10,1:18000	61400	0	6	6	200	1321	0	0	0	20	3	1222	1222	1222	0	0	0	0	1220	0	1220	1220	1220	0	1229	0	1230	0	1231	4020000,4020019,4020012	1222,1220,1229	-275,120
11405	Stage_StageNameId_10222	Stage_StageExplainId_10222	Stage_StageTargetTalk_2001	1,4	10,0	1	114	1	0	0	battle06	stage_xqnm03	11404			40000,51405,51400	0	61400	0	6	6	200	1327	0	0	0	20	3	0	1221	0	1221	0	1222	1222	0	1222	1222	1222	1222	1220	0	1220	1220	1220	1220	4020000,4020020,4020010	1221,1222,1220	-101,34
11406	Stage_StageNameId_10223	Stage_StageExplainId_10223	Stage_StageTargetTalk_2002	1,4	10,0	1	114	1	0	0	battle06	stage_xqnm03	11405			40000,51405,51400	0	61400	0	6	6	200	1333	0	0	0	20	3	0	0	0	1222	1222	1222	1221	1221	1221	0	1221	0	0	1232	0	0	1233	0	4020000,4020020,4020010	1222,1221,1232	120,-130
11407	Stage_StageNameId_10224	Stage_StageExplainId_10224	Stage_StageTargetTalk_2003	1,4	10,0	2	114	1	0	0	battle06	stage_xqnm03	11406			40000,51405,51400	6:1,2:10,1:18000	61400	0	6	6	200	1339	0	0	0	20	3	0	0	0	1220	1220	1220	1222	1222	1222	0	0	0	1234	1235	1236	0	0	0	4020000,4020020,4020010	1220,1222,1234	260,62
11408	Stage_StageNameId_10225	Stage_StageExplainId_10225	Stage_StageTargetTalk_2004	1,4	10,0	1	114	1	0	0	battle06	stage_xqnm03	11407			40000,51408,51400	0	61400	0	6	6	200	1345	0	0	0	20	3	1222	0	1221	1221	1221	1221	0	1222	0	1220	1220	1220	1222	1222	1222	0	1222	0	4020000,4020021,4020011	1222,1222,1222	28,82
11409	Stage_StageNameId_10226	Stage_StageExplainId_10226	Stage_StageTargetTalk_2005	1,4	10,0	1	114	1	0	0	battle06	stage_xqnm03	11408			40000,51408,51400	6:1,2:10,1:18000	61400	0	6	6	200	1351	0	0	0	20	3	1221	1221	1221	1221	0	0	1220	1220	1220	1220	1220	1220	0	0	0	1237	1238	1231	4020000,4020021,4020011	1221,1220,1237	98,152
11410	Stage_StageNameId_10227	Stage_StageExplainId_10227	Stage_StageTargetTalk_2006	1,4	10,0	3	114	1	0	0	battle06	stage_xqnm03	11409			40000,51408,51400	0	61400	0	6	6	200	1357	0	0	0	20	3	1222	1222	1222	0	0	0	1222	0	1222	1222	0	1222	0	1234	0	1231	0	1238	4020000,4020021,4020011	1222,1222,1234	327,152
11501	Stage_StageNameId_10228	Stage_StageExplainId_10228	Stage_StageTargetTalk_2007	1,4	10,0	1	115	1	0	0	battle03	stage_xqnm03	11410			40000,51501,51500	0	61500	0	6	6	235	1363	0	0	0	20	3	1239	0	1239	1239	0	1239	1239	1239	1239	0	0	0	0	0	0	0	1245	0	4020000,4020019	1239,1239,1245	-251,-78
11502	Stage_StageNameId_10229	Stage_StageExplainId_10229	Stage_StageTargetTalk_2008	1,4	10,0	1	115	1	0	0	battle03	stage_xqnm03	11501			40000,51501,51500	0	61500	0	6	6	235	1369	0	0	0	20	3	1240	1240	1240	0	1240	0	1239	1239	0	1239	1239	0	1240	1240	1240	0	0	0	4020000,4020019	1240,1239,1240	-493,-68
11503	Stage_StageNameId_10230	Stage_StageExplainId_10230	Stage_StageTargetTalk_2009	1,4	10,0	1	115	1	0	0	battle03	stage_xqnm03	11502			40000,51501,51500	0	61500	0	6	6	235	1375	0	0	0	20	3	0	1239	0	0	1239	0	1241	0	1241	0	0	0	1246	1247	1248	0	0	0	4020000,4020019	1239,1241,1246	-484,52
11504	Stage_StageNameId_10231	Stage_StageExplainId_10231	Stage_StageTargetTalk_2000	1,4	10,0	2	115	1	0	0	battle03	stage_xqnm03	11503			40000,51501,51500	6:1,2:10,1:30000	61500	0	6	6	235	1381	0	0	0	20	3	1240	1240	1240	0	0	0	1241	0	1239	1239	1239	1239	0	1249	0	0	0	0	4020000,4020019	1240,1241,1249	-275,120
11505	Stage_StageNameId_10232	Stage_StageExplainId_10232	Stage_StageTargetTalk_2001	1,4	10,0	1	115	1	0	0	battle03	stage_xqnm03	11504			40000,51505,51500	0	61500	0	6	6	235	1387	0	0	0	20	3	1241	0	1241	1241	0	0	1240	0	1240	0	1240	0	1239	1239	1239	0	1239	0	4020000,4020020	1241,1240,1239	-101,34
11506	Stage_StageNameId_10233	Stage_StageExplainId_10233	Stage_StageTargetTalk_2002	1,4	10,0	1	115	1	0	0	battle03	stage_xqnm03	11505			40000,51505,51500	0	61500	0	6	6	235	1393	0	0	0	20	3	0	1241	0	0	1241	0	0	1240	1240	0	1240	1240	1249	1250	1247	0	0	0	4020000,4020020	1241,1240,1249	120,-130
11507	Stage_StageNameId_10234	Stage_StageExplainId_10234	Stage_StageTargetTalk_2003	1,4	10,0	2	115	1	0	0	battle03	stage_xqnm03	11506			40000,51505,51500	6:1,2:10,1:30000	61500	0	6	6	235	1399	0	0	0	20	3	1241	0	1241	0	0	0	1239	0	1239	0	1239	0	0	1251	0	0	1252	0	4020000,4020020	1241,1239,1251	260,62
11508	Stage_StageNameId_10235	Stage_StageExplainId_10235	Stage_StageTargetTalk_2004	1,4	10,0	1	115	1	0	0	battle03	stage_xqnm03	11507			40000,51508,51500	0	61500	0	6	6	235	1405	0	0	0	20	3	1239	1239	1239	0	0	0	0	1240	0	1240	1240	1240	1241	1241	1241	0	1241	0	4020000,4020021	1239,1240,1241	28,82
11509	Stage_StageNameId_10236	Stage_StageExplainId_10236	Stage_StageTargetTalk_2005	1,4	10,0	1	115	1	0	0	battle03	stage_xqnm03	11508			40000,51508,51500	6:1,2:10,1:30000	61500	0	6	6	235	1411	0	0	0	20	3	1239	1239	1239	0	0	0	1241	1241	1241	0	1241	0	0	0	0	0	1253	0	4020000,4020021	1239,1241,1253	98,152
11510	Stage_StageNameId_10237	Stage_StageExplainId_10237	Stage_StageTargetTalk_2006	1,4	10,0	3	115	1	0	0	battle03	stage_xqnm03	11509			40000,51508,51500	0	61500	0	6	6	235	1417	0	0	0	20	3	0	1249	0	0	0	0	0	0	0	0	1254	0	0	0	0	0	1255	0	4020000,4020021	1049,1254,1255	327,152
11601	Stage_StageNameId_10238	Stage_StageExplainId_10238	Stage_StageTargetTalk_2007	1,4	10,0	1	116	1	0	0	battle04	stage_xqnm03	11510			40000,51601,51600	0	61600	0	6	6	270	1423	0	0	0	20	3	1256	1256	1256	0	0	0	0	1256	0	1256	0	1256	1257	1257	1257	1257	1257	1257	4020000,4020022,4020015	1256,1256,1257	-251,-78
11602	Stage_StageNameId_10239	Stage_StageExplainId_10239	Stage_StageTargetTalk_2008	1,4	10,0	1	116	1	0	0	battle04	stage_xqnm03	11601			40000,51601,51600	0	61600	0	6	6	270	1429	0	0	0	20	3	0	1262	0	0	0	0	0	1263	0	0	0	0	0	1264	0	0	0	0	4020000,4020022,4020015	1262,1263,1264	-493,-68
