技能ID	技能动画	技能名称	技能icon	技能描述	技能大类型	技能实际类型	技能范围	技能范围条件	技能范围值	技能系数	技能固定值	系数步长	固定值步长	BUFF触发点	BUFFID	BUFF实际类型	BUFF触发条件	BUFF触发值	BUFF概率	BUFF概率步长	BUFF范围	BUFF范围条件	BUFF范围值	BUFF回合	BUFF系数	BUFF固定值	BUFF系数步长	BUFF固定值步长
70012	13012	SkillNameId_70012	Skillicon20012	SkillExplainId_70012	7	1	2	0	0	17500	15	20	15	3,3	119,1	2,2	0,0	0,0	3000,1500	0,0	0,0	0,0	0,0	0,1	0,0	300,0	0,0	0,0
70013	13013	SkillNameId_70013	Skillicon20012	SkillExplainId_70013	7	1	4	0	0	27000	12	20	12	3,3,3,3,3	210,212,10,119,14	1,1,2,2,2	0,0,0,0,9	0,0,0,0,	10000,10000,10000,10000,10000	0,0,0,0,0	1,1,0,0,0	0,0,0,0,0	0,0,0,0,0	2,2,0,0,2	2000,2000,1000,0,5000	0,0,0,100,0	0,0,0,0,0	0,0,0,0,0
70014	13014	SkillNameId_70014	Skillicon20014	SkillExplainId_70014	7	1	4	0	0	28500	18	20	18	2,3	203,203	1,1	0,0	0,0	10000,10000	0,0	1,3	0,1	0,0	2,2	5000,3000	0,0	0,0	0,0
70015	13015	SkillNameId_70015	Skillicon20015	SkillExplainId_70015	7	1	2	0	0	26800	12	20	12	3,3,3	17,18,2	1,1,2	0,0,0	0,0,0	10000,10000,3000	0,0,0	0,0,0	0,0,0	0,0,0	2,2,1	2000,2000,0	0,0,0	0,0,0	0,0,0
70016	13016	SkillNameId_70016	Skillicon20016	SkillExplainId_70016	7	1	2	0	0	20000	12	20	10	3,3	203,1	1,2	0,0	0,0	10000,2000	0,0	1,0	0,0	0,0	2,1	5000,0	0,0	0,0	0,0
70017	13017	SkillNameId_70017	Skillicon20017	SkillExplainId_70017	7	1	3	0	0	18000	12	20	12	3	7	1	0	0	10000	0	2	11	0	0	18000	12	20	12
70018	13018	SkillNameId_70018	Skillicon20018	SkillExplainId_70018	7	1	3	1	4000	38000	20	40	20	3	1	2	0	0	3200	0	0	0	0	1	0	0	0	0
70019	13019	SkillNameId_70019	Skillicon20019	SkillExplainId_70019	7	1	2	0	0	15500	9	10	9	3	4	2	0	0	3800	0	0	0	0	1	0	0	0	0
70020	13020	SkillNameId_70020	Skillicon20020	SkillExplainId_70020	7	1	3	0	0	39000	20	40	20	3,3	14,119	2,2	0,0	0,0	10000,10000	0,0	0,0	0,0	0,0	2,0	2000,0	0,500	0,0	0,0
70021	13021	SkillNameId_70021	Skillicon20021	SkillExplainId_70021	7	1	4	0	0	25000	12	20	12	3,3,3	119,13,13	2,1,1	0,0,0	0,0,0	10000,10000,10000	0,0,0	0,5,1	0,0,0	0,0,0	0,2,2	0,3000,4000	300,0,0	0,0,0	0,0,0
70022	13022	SkillNameId_70022	Skillicon20023	SkillExplainId_70022	7	1	4	0	0	26000	12	20	12	3,3	12,210	2,1	0,0	0,0	10000,10000	0,0	0,1	0,0	0,0	2,2	2500,3000	0,0	0,0	0,0
70023	13023	SkillNameId_70023	Skillicon20022	SkillExplainId_70023	7	1	3	0	0	38000	20	40	20	3,3	4,22	2,1	0,0	0,0	10000,10000	0,0	0,2	0,8	0,0	1,2	0,3000	0,0	0,0	0,0
70024	13024	SkillNameId_70024	Skillicon20024	SkillExplainId_70024	7	1	2	11	0	38000	20	30	20	2	23	1	0	0	10000	0	2	8	0	2	0	0	0	0
70025	13025	SkillNameId_70025	Skillicon20025	SkillExplainId_70025	7	1	6	0	0	22000	10	20	10	3	1	2	0	0	1200	0	0	0	0	1	1800	0	0	0
70026	13026	SkillNameId_70026	Skillicon20026	SkillExplainId_70026	7	1	2	0	0	14500	8	10	8	3	219	2	0	0	10000	0	0	0	0	0	0	150	0	0
70027	13027	SkillNameId_70027	Skillicon20027	SkillExplainId_70027	7	1	2	12	0	39000	20	40	20	2	24	1	0	0	10000	0	6	0	0	2	0	0	0	0
70028	13028	SkillNameId_70028	Skillicon20028	SkillExplainId_70028	7	1	4	0	0	26000	12	20	12	3	11	1	0	0	10000	0	2	2	0	2	1800	0	0	0
80001	0	SkillNameId_80001		SkillExplainId_80001	8	3	0	0	0	0	0	0	0	0	216	1	0	0	0	0	2	0	0	0	200	0	0	0
80002	0	SkillNameId_80002		SkillExplainId_80002	8	3	0	0	0	0	0	0	0	0	216	1	0	0	0	0	2	0	0	0	600	0	0	0
80003	0	SkillNameId_80003		SkillExplainId_80003	8	3	0	0	0	0	0	0	0	0	216	1	0	0	0	0	2	0	0	0	1200	0	0	0
80004	0	SkillNameId_80004		SkillExplainId_80004	8	3	0	0	0	0	0	0	0	0	217	1	0	0	0	0	2	0	0	0	300	0	0	0
80005	0	SkillNameId_80005		SkillExplainId_80005	8	3	0	0	0	0	0	0	0	0	217	1	0	0	0	0	2	0	0	0	1000	0	0	0
80006	0	SkillNameId_80006		SkillExplainId_80006	8	3	0	0	0	0	0	0	0	0	217	1	0	0	0	0	2	0	0	0	2000	0	0	0
80007	0	SkillNameId_80007		SkillExplainId_80007	8	3	0	0	0	0	0	0	0	0	203	1	0	0	0	0	2	0	0	0	300	0	0	0
80008	0	SkillNameId_80008		SkillExplainId_80008	8	3	0	0	0	0	0	0	0	0	203	1	0	0	0	0	2	0	0	0	800	0	0	0
80009	0	SkillNameId_80009		SkillExplainId_80009	8	3	0	0	0	0	0	0	0	0	203	1	0	0	0	0	2	0	0	0	1600	0	0	0
80010	0	SkillNameId_80010		SkillExplainId_80010	8	3	0	0	0	0	0	0	0	0	206	1	0	0	0	0	2	0	0	0	300	0	0	0
80011	0	SkillNameId_80011		SkillExplainId_80011	8	3	0	0	0	0	0	0	0	0	206	1	0	0	0	0	2	0	0	0	800	0	0	0
80012	0	SkillNameId_80012		SkillExplainId_80012	8	3	0	0	0	0	0	0	0	0	206	1	0	0	0	0	2	0	0	0	1600	0	0	0
80013	0	SkillNameId_80013		SkillExplainId_80013	8	3	0	0	0	0	0	0	0	0	219	1	0	0	0	0	3	0	0	0	2000000	0	0	0
80014	0	SkillNameId_80014		SkillExplainId_80014	8	3	0	0	0	0	0	0	0	0	219	1	0	0	0	0	3	0	0	0	5000000	0	0	0
80015	0	SkillNameId_80015		SkillExplainId_80015	8	3	0	0	0	0	0	0	0	0	219	1	0	0	0	0	3	0	0	0	10000000	0	0	0
80016	0	SkillNameId_80016		SkillExplainId_80016	8	3	0	0	0	0	0	0	0	0	219	1	0	0	0	0	2	0	0	0	1000000	0	0	0
80017	0	SkillNameId_80017		SkillExplainId_80017	8	3	0	0	0	0	0	0	0	0	219	1	0	0	0	0	2	0	0	0	2000000	0	0	0
80018	0	SkillNameId_80018		SkillExplainId_80018	8	3	0	0	0	0	0	0	0	0	219	1	0	0	0	0	2	0	0	0	4000000	0	0	0
80019	0	SkillNameId_80019		SkillExplainId_80019	8	3	0	0	0	0	0	0	0	0	212	1	0	0	0	0	2	0	0	0	200	0	0	0
80020	0	SkillNameId_80020		SkillExplainId_80020	8	3	0	0	0	0	0	0	0	0	212	1	0	0	0	0	2	0	0	0	600	0	0	0
80021	0	SkillNameId_80021		SkillExplainId_80021	8	3	0	0	0	0	0	0	0	0	212	1	0	0	0	0	2	0	0	0	1200	0	0	0
80022	0	SkillNameId_80022		SkillExplainId_80022	8	3	0	0	0	0	0	0	0	0	211	1	0	0	0	0	2	0	0	0	200	0	0	0
80023	0	SkillNameId_80023		SkillExplainId_80023	8	3	0	0	0	0	0	0	0	0	211	1	0	0	0	0	2	0	0	0	600	0	0	0
80024	0	SkillNameId_80024		SkillExplainId_80024	8	3	0	0	0	0	0	0	0	0	211	1	0	0	0	0	2	0	0	0	1200	0	0	0
80031	0	SkillNameId_80031		SkillExplainId_80031	8	3	0	0	0	0	0	0	0	0	8	1	0	0	0	0	3	0	0	0	0	0	0	0
2000101	22001				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000102	22002				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000104	22003				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000105	22004				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000106	22005				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000107	22006				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000108	22007				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000109	22008				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
