天赋ID	天赋ID	天赋名称	天赋描述	天赋ICON	需要战队等级	前置天赋ID	后置天赋ID	影响玩法类型	天赋等级	所在天赋树ID	天赋类型	天赋范围	天赋范围条件	属性编号	属性值	金币消耗	天赋点消耗
402102	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402101	402103	1	2	3	1	2	8	13	200	60000	3
402103	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402102	402104	1	3	3	1	2	8	13	300	100000	3
402104	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402103	402105	1	4	3	1	2	8	13	400	150000	4
402105	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402104	402106	1	5	3	1	2	8	13	500	200000	4
402106	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402105	402107	1	6	3	1	2	8	13	600	250000	5
402107	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402106	402108	1	7	3	1	2	8	13	700	300000	5
402108	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402107	402109	1	8	3	1	2	8	13	800	350000	6
402109	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402108	402110	1	9	3	1	2	8	13	900	400000	6
402110	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402109	0	1	10	3	1	2	8	13	1000	500000	7
402201	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	401807	402202	1	1	3	1	2	10	11	30	30000	3
402202	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402201	402203	1	2	3	1	2	10	11	60	60000	3
402203	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402202	402204	1	3	3	1	2	10	11	90	100000	3
402204	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402203	402205	1	4	3	1	2	10	11	120	150000	4
402205	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402204	402206	1	5	3	1	2	10	11	150	200000	4
402206	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402205	402207	1	6	3	1	2	10	11	180	250000	5
402207	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402206	402208	1	7	3	1	2	10	11	210	300000	5
402208	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402207	402209	1	8	3	1	2	10	11	240	350000	6
402209	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402208	402210	1	9	3	1	2	10	11	270	400000	6
402210	400220	TalentNameId_400220	TalentExplainId_400220	TalentIcon_400220	70	402209	0	1	10	3	1	2	10	11	300	500000	7
402301	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402207	402302	1	1	3	1	2	10	12	30	30000	3
402302	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402301	402303	1	2	3	1	2	10	12	60	60000	3
402303	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402302	402304	1	3	3	1	2	10	12	90	100000	3
402304	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402303	402305	1	4	3	1	2	10	12	120	150000	4
402305	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402304	402306	1	5	3	1	2	10	12	150	200000	4
402306	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402305	402307	1	6	3	1	2	10	12	180	250000	5
402307	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402306	402308	1	7	3	1	2	10	12	210	300000	5
402308	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402307	402309	1	8	3	1	2	10	12	240	350000	6
402309	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402308	402310	1	9	3	1	2	10	12	270	400000	6
402310	400230	TalentNameId_400230	TalentExplainId_400230	TalentIcon_400230	75	402309	0	1	10	3	1	2	10	12	300	500000	7
402401	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402307	402402	1	1	3	1	2	10	31	200	30000	3
402402	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402401	402403	1	2	3	1	2	10	31	400	60000	3
402403	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402402	402404	1	3	3	1	2	10	31	600	100000	3
402404	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402403	402405	1	4	3	1	2	10	31	800	150000	4
402405	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402404	402406	1	5	3	1	2	10	31	1000	200000	4
402406	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402405	402407	1	6	3	1	2	10	31	1200	250000	5
402407	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402406	402408	1	7	3	1	2	10	31	1400	300000	5
402408	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402407	402409	1	8	3	1	2	10	31	1600	350000	6
402409	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402408	402410	1	9	3	1	2	10	31	1800	400000	6
402410	400240	TalentNameId_400240	TalentExplainId_400240	TalentIcon_400240	80	402409	0	1	10	3	1	2	10	31	2000	500000	7
402501	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	401807	402502	1	1	3	1	2	9	8	120	30000	3
402502	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402501	402503	1	2	3	1	2	9	8	240	60000	3
402503	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402502	402504	1	3	3	1	2	9	8	360	100000	3
402504	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402503	402505	1	4	3	1	2	9	8	480	150000	4
402505	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402504	402506	1	5	3	1	2	9	8	600	200000	4
402506	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402505	402507	1	6	3	1	2	9	8	720	250000	5
402507	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402506	402508	1	7	3	1	2	9	8	840	300000	5
402508	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402507	402509	1	8	3	1	2	9	8	960	350000	6
402509	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402508	402510	1	9	3	1	2	9	8	1080	400000	6
402510	400250	TalentNameId_400250	TalentExplainId_400250	TalentIcon_400250	70	402509	0	1	10	3	1	2	9	8	1200	500000	7
402601	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402507	402602	1	1	3	1	2	9	12	35	30000	3
402602	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402601	402603	1	2	3	1	2	9	12	70	60000	3
402603	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402602	402604	1	3	3	1	2	9	12	105	100000	3
402604	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402603	402605	1	4	3	1	2	9	12	140	150000	4
402605	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402604	402606	1	5	3	1	2	9	12	175	200000	4
402606	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402605	402607	1	6	3	1	2	9	12	210	250000	5
402607	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402606	402608	1	7	3	1	2	9	12	245	300000	5
402608	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402607	402609	1	8	3	1	2	9	12	280	350000	6
402609	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402608	402610	1	9	3	1	2	9	12	315	400000	6
402610	400260	TalentNameId_400260	TalentExplainId_400260	TalentIcon_400260	75	402609	0	1	10	3	1	2	9	12	350	500000	7
402701	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402607	402702	1	1	3	1	2	9	14	120	30000	3
402702	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402701	402703	1	2	3	1	2	9	14	240	60000	3
402703	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402702	402704	1	3	3	1	2	9	14	360	100000	3
402704	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402703	402705	1	4	3	1	2	9	14	480	150000	4
402705	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402704	402706	1	5	3	1	2	9	14	600	200000	4
402706	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402705	402707	1	6	3	1	2	9	14	720	250000	5
402707	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402706	402708	1	7	3	1	2	9	14	840	300000	5
402708	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402707	402709	1	8	3	1	2	9	14	960	350000	6
402709	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402708	402710	1	9	3	1	2	9	14	1080	400000	6
402710	400270	TalentNameId_400270	TalentExplainId_400270	TalentIcon_400270	80	402709	0	1	10	3	1	2	9	14	1200	500000	7
